municipi,latitude,longitude,BLOC
Marganell,41.640666,1.7900194,1
Castellví de Rosanes,41.450038,1.8994527,1
Collbató,41.570256,1.8285814,1
Rellinars,41.6367945,1.910447,1
Ullastrell,41.5265763,1.9560471,1
Òrrius,41.5551821,2.3549387,1
Santa Maria de Martorelles,41.5198085,2.2537044,1
Vallgorguina,41.6473229,2.5100384,1
Vilalba Sasserra,41.6530012,2.4405379,1
Campins,41.7250261,2.4640701,1
Cànoves i Samalús,41.7072824,2.338253622217338,1
Fogars de Montclús,41.74716075,2.4394273887762976,1
Gualba,41.7321147,2.5018684,1
Sant Pere de Vilamajor,41.6843288,2.3900497,1
Castellfollit del Boix,41.6657331,1.6847457,1
Castellgalí,41.6732765,1.8378043,1
Mura,41.6998219,1.9764684,1
Talamanca,41.736093,1.9780786,1
Sant Llorenç Savall,41.6794647,2.0579669,1
Gallifa,41.6937007,2.1164334,1
Tagamanent,41.741256,2.2653485,1
Figaró-Montmany,41.70982185,2.25364598780679,1
Montseny,41.7593697,2.3952061,1
Sant Esteve de Palautordera,41.7040768,2.4343426,1
Aguilar de Segarra,41.7394902,1.6316676,2
Fonollosa,41.7626001,1.6678299,2
Rajadell,41.7291916,1.7056275,2
Castellnou de Bages,41.8348967,1.8365127,2
Sant Mateu de Bages,41.7969781,1.7327386,2
Granera,41.7255146,2.0570042,2
Monistrol de Calders,41.7608379,2.0146236,2
Sant Quirze Safaja,41.7276804,2.1548204,2
Calders,41.7892144,1.9916386,2
Castellcir,41.7615048,2.1507238,2
Collsuspina,41.8260718,2.174353,2
Estany,41.5398446,2.2129022,2
Sant Feliu Sasserra,41.9447451,2.0213124,2
Viver i Serrateix,41.94976665,1.8014849913940252,2
Sagàs,42.0510214,1.9626051,2
Santa Maria de Merlès,42.0007572,1.9778885,2
Olost,41.9851518,2.0941372,2
Oristà,41.9327257,2.0599756,2
Sant Martí d'Albars,42.0281258,2.0742512,2
Sobremunt,42.0353017,2.165156,2
Olvan,42.0571091,1.9064046,2
Lluçà,42.0671674,2.0482158201809684,2
Perafita,42.0423757,2.107122,2
Alpens,42.1195348,2.101673,2
Malla,41.887016,2.2354564,3
Muntanyola,41.8769342,2.1790836,3
Folgueroles,41.9392868,2.3180742,3
Santa Eugènia de Berga,41.9000058,2.283319,3
Santa Eulàlia de Riuprimer,41.9109533,2.1886023,3
Vilanova de Sau,41.9476741,2.383405,3
Sant Martí de Centelles,41.754090399999995,2.219576225875367,3
Gurb,41.9409869,2.2433019,3
Masies de Roda,41.9900725,2.3064465,3
Santa Cecília de Voltregà,41.9930549,2.222325,3
Tavertet,41.995547,2.4182542,3
Rupit i Pruit,42.024334,2.4653919,3
Sant Bartomeu del Grau,41.9807659,2.1750391,3
Masies de Voltregà,42.0267288,2.2347147,3
Orís,42.065576,2.212260540120897,3
Sant Boi de Lluçanès,42.0578411,2.1511135,3
Santa Maria de Besora,42.1272818,2.2589189,3
Sant Vicenç de Torelló,42.0630229,2.272337,3
Sora,42.1119353,2.1610531,3
Vidrà,42.1228239,2.3106778,3
Montesquiu,42.108728,2.2086111,3
Sant Agustí de Lluçanès,42.0855048,2.1272825,3
Tavèrnoles,41.9520757,2.3263016,3
Sant Sadurní d'Osormort,41.9019288,2.3815562,3
Espinelves,41.8689558,2.4173566,3
Brull,41.8168099,2.3052283,3
Espunyola,42.0523207,1.7733927,4
Montclar,42.018173,1.7653302,4
Capolat,42.0776191,1.752867,4
Castellar del Riu,42.12732255,1.7549529123787428,4
Fígols,42.1809467,1.8366637,4
Nou de Berguedà,42.1663902,1.8845378,4
Quar,42.1050263,1.9807775,4
Vilada,42.1369132,1.9315206,4
Llosses,42.1506279,2.1166718,4
Vallfogona de Ripollès,42.1963139,2.3036247,4
Borredà,42.1355536,1.9941054,4
Castell de l'Areny,42.1732169,1.9454439,4
Sant Jaume de Frontanyà,42.1874392,2.0238488,4
Vallcebre,42.2036044,1.818818,4
Sant Julià de Cerdanyola,42.2234097,1.8921354,4
Gisclareny,42.249978,1.7866137,4
Saldes,42.2287591,1.7349486,4
Gósol,42.2365129,1.6605511,4
Castellar de n'Hug,42.2826009,2.0165927,4
Campelles,42.2946353,2.1405635,4
Gombrèn,42.2484304,2.0905975,4
Planoles,42.3148273,2.1029743,4
Toses,42.3218595,2.0168227,4
Setcases,42.375331,2.3016103,4
Llanars,42.3197051,2.3435638,4
Molló,42.3485369,2.4043962,4
Ogassa,42.2656267,2.2777794,4
Vilallonga de Ter,42.331497,2.3125292,4
Pardines,42.312731,2.2139864,4
Queralbs,42.3495722,2.1632838,4
Vic,41.9302021,2.2545943, 1