municipi,Estancia Minima
Calonge de Segarra,0.5
Castellfollit de Riubregós,0.5
Prats de Rei,1.0
Pujalt,0.5
Sant Pere Sallavinera,0.5
Sant Martí Sesgueioles,1.0
Argençola,0.5
Copons,1.0
Jorba,1.0
Montmaneu,0.5
Rubió,0.5
Veciana,0.5
Bellprat,0.5
El Bruc,1.0
Castellolí,1.0
Orpí,0.5
Santa Maria de Miralles,0.5
Cabrera d'Anoia,1.0
Torre de Claramunt,1.0
Vallbona d'Anoia,1.0
La Llacuna,1.0
Conesa,0.5
Llorac,0.5
Passanant i Belltall,0.5
Piles,0.5
Savallà del Comtat,0.5
Vallfogona de Riucorb,0.5
Forès,0.5
Rocafort de Queralt,0.5
Carme,1.0
Mediona,1.0
Font-rubí,1.0
Pontons,1.0
Torrelles de Foix,1.0
Les Cabanyes,1.0
Pacs del Penedès,1.0
Sant Cugat Sesgarrigues,1.0
Santa Fe del Penedès,1.0
Vilobí del Penedès,1.0
Castellet i la Gornal,1.0
Albinyana,1.0
Bonastre,1.0
Santa Oliva,1.0
Olivella,1.0
Olesa de Bonesvalls,1.0
Puigdàlber,1.0
Sant Llorenç d'Hortons,1.0
Subirats,1.0
Torrelavit,1.0
Masllorenç,1.0
Montmell,1.0
Salomó,1.0
Vespella de Gaià,1.0
Blancafort,1.0
Pira,1.0
Senan,0.5
Aiguamúrcia,1.0
Cabra del Camp,1.0
Querol,1.0
Pontils,0.5
Figuerola del Camp,1.0
Montferri,1.0
Rodonyà,1.0
Vallclara,0.5
Vilanova de Prades,0.5
Mont-ral,0.5
La Riba,1.0
Vilaverd,1.0
Garidells,0.5
Masó,1.0
El Milà,0.5
Vallmoll,1.0
Alió,1.0
Bràfim,1.0
Puigpelat,1.0
Vilabella,1.0
Nulles,1.0
Rourell,1.0
Argentera,0.5
Botarell,1.0
Colldejou,0.5
Pratdip,1.0
Riudecanyes,1.0
Vilanova d'Escornalbou,1.0
Aleixar,1.0
Alforja,1.0
Duesaigües,0.5
Maspujols,1.0
Riudecols,1.0
Arbolí,0.5
Capafonts,0.5
La Febró,0.5
Vilaplana,1.0
Albiol,1.0
Almoster,1.0
Perafort,1.0
Pobla de Mafumet,1.0
Vilallonga del Camp,1.0
Nou de Gaià,1.0
La Riera de Gaià,1.0
El Catllar,1.0
La Secuita,1.0
Renau,0.5
Campllong,1.0
Llambilles,1.0
Sant Andreu Salou,0.5
Massanes,1.0
Sant Feliu de Buixalleu,1.0
Aiguaviva,1.0
Sant Martí de Llémena,1.0
Brunyola i Sant Martí Sapresa,1.0
Osor,1.0
Susqueda,0.5
"Sant Miquel de
Campmajor",0.5
Mieres,1.0
Sant Aniol de Finestres,1.0
Canet d'Adri,1.0
Camós,1.0
Palau-sator,1.0
Regencós,1.0
Vall-llobrega,1.0
"Cruïlles, Monells i Sant
Sadurní de l'Heura",1.0
Forallac,1.0
Parlavà,1.0
Pera,1.0
Rupià,1.0
Juià,1.0
Madremanya,1.0
Sant Martí Vell,1.0
Corçà,1.0
Foixà,1.0
Fontanilles,0.5
Gualta,1.0
Serra de Daró,0.5
Ullà,1.0
Colomers,0.5
Garrigoles,0.5
Tallada d'Empordà,1.0
Vilopriu,0.5
Cervià de Ter,1.0
Palol de Revardit,1.0
Ventalló,1.0
Viladamat,1.0
Albons,1.0
Bellcaire d'Empordà,1.0
Sant Miquel de Fluvià,1.0
Torroella de Fluvià,1.0
Vilaür,0.5
Vilamacolum,1.0
Vilademuls,1.0
Maià de Montcal,1.0
Sant Ferriol,1.0
Crespià,1.0
Esponellà,1.0
Fontcoberta,1.0
Argelaguer,1.0
Riudaura,1.0
Sant Jaume de Llierca,1.0
Vall de Bianya,1.0
Albanyà,0.5
Montagut i Oix,1.0
Sales de Llierca,0.5
Tortellà,1.0
Borrassà,1.0
Siurana,0.5
Garrigàs,1.0
Navata,1.0
Far d'Empordà,1.0
Fortià,1.0
Riumors,0.5
Santa Llogaia d'Àlguema,1.0
Vila-sacra,1.0
Cabanes,1.0
Pau,1.0
Pedret i Marzà,0.5
Selva de Mar,0.5
Avinyonet de Puigventós,1.0
Cabanelles,1.0
Lladó,1.0
Vilanant,1.0
Boadella i les Escaules,1.0
Cistella,1.0
Sant Llorenç de la Muga,1.0
Terrades,1.0
Masarac,1.0
Mollet de Peralada,0.5
Capmany,1.0
Pont de Molins,1.0
Espolla,1.0
Rabós,0.5
Vilamaniscle,0.5
Vajol,0.5
Cantallops,1.0
Ordis,1.0
Palau de Santa Eulàlia,0.5
Pontós,1.0
Vilafant,1.0
Vilamalla,1.0
Biure,0.5
Beuda,0.5
Jafre,1.0
Torrent,0.5
Ultramort,0.5
Ullastret,1.0
Sant Joan de Mollet,1.0
Viladasens,0.5
Fogars de la Selva,1.0
Marganell,1.0
Castellví de Rosanes,1.0
Collbató,1.0
Rellinars,1.0
Ullastrell,1.0
Òrrius,1.0
Santa Maria de Martorelles,1.0
Vallgorguina,1.0
Vilalba Sasserra,1.0
Campins,1.0
Cànoves i Samalús,1.0
Fogars de Montclús,1.0
Gualba,1.0
Sant Pere de Vilamajor,1.0
Castellfollit del Boix,1.0
Castellgalí,1.0
Mura,0.5
Talamanca,0.5
Sant Llorenç Savall,1.0
Gallifa,0.5
Tagamanent,1.0
Figaró-Montmany,1.0
Montseny,1.0
Sant Esteve de Palautordera,1.0
Aguilar de Segarra,1.0
Fonollosa,1.0
Rajadell,1.0
Castellnou de Bages,1.0
Sant Mateu de Bages,1.0
Granera,0.5
Monistrol de Calders,1.0
Sant Quirze Safaja,1.0
Calders,1.0
Castellcir,1.0
Collsuspina,1.0
Estany,1.0
Sant Feliu Sasserra,1.0
Viver i Serrateix,0.5
Sagàs,0.5
Santa Maria de Merlès,0.5
Olost,1.0
Oristà,1.0
Sant Martí d'Albars,0.5
Sobremunt,0.5
Olvan,1.0
Lluçà,1.0
Perafita,1.0
Alpens,1.0
Malla,1.0
Muntanyola,1.0
Folgueroles,1.0
Santa Eugènia de Berga,1.0
Santa Eulàlia de Riuprimer,1.0
Vilanova de Sau,1.0
Sant Martí de Centelles,1.0
Gurb,1.0
Masies de Roda,1.0
Santa Cecília de Voltregà,0.5
Tavertet,0.5
Rupit i Pruit,1.0
Sant Bartomeu del Grau,1.0
Masies de Voltregà,1.0
Orís,1.0
Sant Boi de Lluçanès,1.0
Santa Maria de Besora,0.5
Sant Vicenç de Torelló,1.0
Sora,0.5
Vidrà,0.5
Montesquiu,1.0
Sant Agustí de Lluçanès,0.5
Tavèrnoles,1.0
Sant Sadurní d'Osormort,0.5
Espinelves,0.5
Brull,1.0
Espunyola,1.0
Montclar,0.5
Capolat,0.5
Castellar del Riu,0.5
Fígols,0.5
Nou de Berguedà,0.5
Quar,0.5
Vilada,1.0
Llosses,0.5
Vallfogona de Ripollès,0.5
Borredà,1.0
Castell de l'Areny,0.5
Sant Jaume de Frontanyà,0.5
Vallcebre,1.0
Sant Julià de Cerdanyola,0.5
Gisclareny,0.5
Saldes,1.0
Gósol,0.5
Castellar de n'Hug,0.5
Campelles,0.5
Gombrèn,0.5
Planoles,1.0
Toses,0.5
Setcases,0.5
Llanars,1.0
Molló,1.0
Ogassa,0.5
Vilallonga de Ter,1.0
Pardines,0.5
Queralbs,0.5
Vic,0.0
Montblanc,0.0
Girona,0.0